title,price,color,timestamp,url,buitenlaag,material,newarrival
Oversized single-breasted blazer,"€ 79,99",Beige,1679340312,https://www2.hm.com/nl_nl/productpage.1107623007.html,"Buitenlaag:Linnen 52%, Katoen 25%, Viscose 23%
Voeringen:Polyester 53%, Viscose 47%",Materiaal: Twill,New Arrival
Gilet van linnenmix,"€ 24,99",Wit/gestreept,1679340349,https://www2.hm.com/nl_nl/productpage.1156825001.html,"Voeringen:Polyester 100%
Buitenlaag:Katoen 60%, Linnen 39%, Viscose 1%",No material,New Arrival
Broek met dessin,"€ 34,99",Heldergroen/gestreept,1679340387,https://www2.hm.com/nl_nl/productpage.1161298001.html,Viscose 100%,No material,New Arrival
A-linerok met applicaties,"€ 34,99",Zwart/dessin,1679340424,https://www2.hm.com/nl_nl/productpage.1157140001.html,Katoen 100%,Materiaal: Katoen,New Arrival
Dressed broek,"€ 49,99",Beige,1679340461,https://www2.hm.com/nl_nl/productpage.1110713006.html,"Voering zak:Polyester 53%, Viscose 47%
Buitenlaag:Linnen 52%, Katoen 25%, Viscose 23%",Materiaal: Twill,New Arrival
Oversized overhemdblouse,"€ 24,99",Heldergroen/gestreept,1679340499,https://www2.hm.com/nl_nl/productpage.1161297001.html,Viscose 100%,No material,New Arrival
Uitlopende rok,"€ 39,99",Heldergroen,1679340536,https://www2.hm.com/nl_nl/productpage.1162516001.html,"Buitenlaag:Katoen 60%, Polyester 40%
Voeringen:Katoen 100%",No material,New Arrival
Blouse met overslagdetail,"€ 29,99",Zwart/gestreept,1679340574,https://www2.hm.com/nl_nl/productpage.1165839001.html,Viscose 100%,No material,New Arrival
Wijde utilitybroek,"€ 44,99",Zwart,1679340611,https://www2.hm.com/nl_nl/productpage.1156829001.html,"Polyester 65%, Katoen 35%",Materiaal: Twill,New Arrival
One-shouldertop met volant,"€ 19,99",Heldergroen,1679340648,https://www2.hm.com/nl_nl/productpage.1162514001.html,"Katoen 60%, Polyester 40%",No material,New Arrival
Wijde pull-on broek,"€ 34,99",Zwart/gestreept,1679340686,https://www2.hm.com/nl_nl/productpage.1165848001.html,Viscose 100%,No material,New Arrival
Gilet van linnenmix,"€ 14,99",Zwart,1679340723,https://www2.hm.com/nl_nl/productpage.1156828001.html,"Voeringen:Polyester 100%
Buitenlaag:Viscose 57%, Linnen 43%",No material,New Arrival
Satijnen crop top,"€ 29,99",Zwart,1679340761,https://www2.hm.com/nl_nl/productpage.1162273001.html,"Buitenlaag:Polyester 100%
Voeringen:Katoen 100%",Materiaal: Satijn,New Arrival
